M,F
Leonardo,Sofia
Francesco,Giulia
Alessandro,Aurora
Lorenzo,Alice
Mattia,Ginevra
Andrea,Emma
Gabriele,Giorgia
Riccardo,Greta
Tommaso,Beatrice
Edoardo,Anna
Matteo,Martina
Giuseppe,Chiara
Nicolo',Vittoria
Antonio,Sara
Federico,Nicole
Diego,Matilde
Davide,Bianca
Giovanni,Ludovica
Christian,Camilla
Pietro,Gaia
Samuele,Noemi
Filippo,Alessia
Marco,Arianna
Luca,Rebecca
Simone,Francesca
Michele,Mia
Alessio,Elena
Gabriel,Viola
Giulio,Adele
Salvatore,Giada
Gioele,Marta
Emanuele,Elisa
Vincenzo,Gioia
Thomas,Isabel
Giacomo,Maria
Jacopo,Asia
Cristian,Carlotta
Samuel,Emily
Daniele,Eleonora
Enea,Azzurra
Manuel,Miriam
Elia,Melissa
Giorgio,Cecilia
Daniel,Margherita
Luigi,Anita
Stefano,Benedetta
Nicola,Caterina
Domenico,Irene
Raffaele,Eva
Nathan,Chloe
